"title" "year" "length" "budget"
"Rocky IV" 1985 91 31000000
"Roger & Me" 1989 91 160000
"Rogue Trader" 1999 101 12800000
"Roi danse, Le" 2000 115 21000000
"Rollerball" 2002 97 70000000
"Roma" 2004 155 2763806
"Roman Holiday" 1953 117 1500000
"Roman Scandals" 1933 85 1000000
"Romance" 1930 76 496000
"Romantic Englishwoman, The" 1975 115 1200000
"Romeo + Juliet" 1996 120 14500000
"Romeo Division, The" 2004 25 6000
"Romeo Must Die" 2000 115 25000000
"Ron's Night Out" 1999 30 50000
"Ronin" 1998 121 55000000
"Rookie, The" 2002 127 24000000
"Room with a View, A" 1985 117 3000000
"Room, The" 2003 99 6000000
"Roommates" 1995 108 22000000
"Root of All Evil, The" 2004 101 150000
"Roots of Heaven, The" 1958 121 4500000
"Roozi khe zan shodam" 2000 78 180000
"Rope" 1948 80 1500000
"Rosalie" 1937 123 2000000
"Rose & Alexander" 2002 40 4800
"Rose, The" 1979 125 8500000
"Rosemary's Baby" 1968 136 3200000
"Rosewood" 1997 140 31000000
"Rounders" 1998 121 12000000
"Route 666" 2001 86 2300000
"Roy" 2000 11 500000
"Royal Tenenbaums, The" 2001 111 21000000
"Royal Wedding" 1951 93 1590920
"Ruby in Paradise" 1993 114 800000
"Rugrats Go Wild!" 2003 81 25000000
"Rugrats Movie, The" 1998 79 28000000
"Rugrats in Paris: The Movie - Rugrats II" 2000 78 30000000
"Rules of Attraction, The" 2002 110 4000000
"Rules of Engagement" 2000 128 60000000
"Rules, The" 2004 29 20000
"Rumble Fish" 1983 94 10000000
"Rumpelstiltskin" 1996 87 3000000
"Run, Angel, Run" 1969 95 96000
"Runaway Bride" 1999 116 70000000
"Runaway Jury" 2003 127 60000000
"Rundown, The" 2003 104 85000000
"Running Brave" 1983 106 8000000
"Running Man, The" 1987 101 27000000
"Running Out" 2001 97 50000
"Running Time" 1997 70 120000
"Rush Hour" 1998 93 35000000
"Rush Hour 2" 2001 86 90000000
"Rushmore" 1998 93 10000000
"Rutland, USA" 2002 100 4000
"Ryan's Daughter" 1970 202 15000000
"Rymdinvasion i Lappland" 1959 81 40000
"S.C.I.E.N.C.E" 2004 96 3000
"S.W.A.T." 2003 117 80000000
"SSSSSSS" 1973 99 1300000
"Saadia" 1953 82 1250000
"Sabrina" 1954 113 2238813
"Sabrina" 1995 127 58000000
"Sacred Is the Flesh" 2001 94 300000
"Saddle Buster, The" 1932 59 38000
"Safe Men" 1998 88 1000000
"Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent, The" 1957 66 65000
"Sahara" 1983 111 25000000
"Sahara" 2005 124 130000000
"Saint, The" 1997 116 70000000
"Saints and Soldiers" 2003 90 780000
"Sally and Angela" 2001 12 5000
"Salton Sea, The" 2002 107 18000000
"Salvador" 1986 123 4500000
"Same Difference" 2003 14 7000
"Samsara" 2001 138 3000000
"San Francisco" 1936 115 1300000
"Sand Pebbles, The" 1966 193 12000000
"Sandpiper, The" 1965 117 5300000
"Sands of Iwo Jima" 1949 109 1000000
"Sangre eterna" 2002 108 25000
"Sankofa" 1993 125 1000000
"Santa Claus" 1985 107 50000000
"Santa Claus Conquers the Martians" 1964 81 200000
"Santa Clause 2, The" 2002 105 60000000
"Santa sangre" 1989 123 787000
"Santos peregrinos" 2004 94 900000
"Sara" 1997 105 835000
"Saratoga Trunk" 1945 135 1750000
"Saturn" 1999 94 350000
"Satyricon" 1969 129 3000000
"Savage" 1995 99 5000000
"Savage Roses" 2002 90 15000
"Save the Last Dance" 2001 112 13000000
"Saved!" 2004 92 5000000
"Saving Private Ryan" 1998 170 70000000
"Saving Ryan's Privates" 1998 8 6500
"Saving Silverman" 2001 96 22000000
"Savior" 1998 104 10000000
"Saw" 2004 100 1200000
"Say It Isn't So" 2001 93 25000000
"Scam Artist, The" 2004 76 500000
"Scanner Cop II" 1995 95 4000000
"Scaramouche" 1923 101 858723
"Scaramouche" 1952 115 3500000
"Scarface" 1983 170 25000000
"Scarlet Clue, The" 1945 65 75000
"Scarlet Empress, The" 1934 104 900000
"Scarlet Letter, The" 1926 98 430290
"Scarlet Letter, The" 1995 135 50000000
"Scarlett Mecca and the Pentagram Girl" 2000 20 20000
"Scary Movie" 2000 88 19000000
"Scary Movie 2" 2001 83 45000000
"Scary Movie 3" 2003 84 45000000
"Scene Smoking: Cigarettes, Cinema & the Myth of Cool" 2001 59 145000
"Scene Stealers" 2004 99 75000
"Schindler's List" 1993 195 25000000
"Schizopolis" 1996 96 250000
"School Daze" 1988 121 6500000
"School of Rock, The" 2003 108 20000000
"Scooby-Doo" 2002 86 84000000
"Score, The" 2001 124 68000000
"Scorpio Rising" 1964 30 16000
"Scorpion King, The" 2002 92 60000000
"Scream" 1996 111 15000000
"Scream 2" 1997 120 24000000
"Scream 3" 2000 116 40000000
"Screamers" 1995 108 11000000
"Screen Test" 1985 84 1000000
"Screwballs" 1983 80 800000
"Screwed" 2000 78 10000000
"Se7en" 1995 127 30000000
"Sea Ghost" 2004 90 1500000
"Sea Hawk, The" 1940 127 1700000
"Seabiscuit" 2003 141 86000000
"Search and Destroy" 1995 90 4000000
"Searchers, The" 1956 119 3750000
"Searching for Angela Shelton" 2004 93 300000
"Searching for Debra Winger" 2002 97 600000
"Secondhand Lions" 2003 120 30000000
"Secret Beyond the Door..." 1948 99 615065
"Secret Ceremony" 1968 109 3200000
"Secret Cinema, The" 1968 30 5000
"Secret Invasion, The" 1964 95 600000
"Secret Journal of Benny Travis, The" 2003 29 51000
"Secret Kingdom, The" 1998 90 800000
"Secret Life of Girls, The" 1999 90 2500000
"Secret Window" 2004 96 40000000
"Secret of the Purple Reef, The" 1960 81 86000
"Secrets" 1933 90 531641
"Secrets & Lies" 1996 136 4500000
"See Spot Run" 2001 94 16000000
"Seed of Chucky" 2004 87 12000000
"Selena" 1997 127 20000000
"Sensations" 1975 86 250000
"Sense and Sensibility" 1995 136 16500000
"Sensitive New-Age Killer" 2000 88 1000000
"Sentinel, The" 1977 92 3700000
"September" 1987 82 10000000
"Serendipity" 2001 90 28000000
"Sergeant York" 1941 134 1400000
"Serial Mom" 1994 95 13000000
"Series of Small Things, A" 2005 23 15000
"Serpent and the Rainbow, The" 1988 98 7000000
"Serpent's Kiss, The" 1997 104 13000000
"Serpent's Lair" 1995 90 4000000
"Serving Sara" 2002 99 29000000
"Session 9" 2001 97 1500000
"Set It Off" 1996 123 9000000
"Setta, La" 1991 112 2000000
"Seven Days in May" 1964 118 2200000
"Seven Sinners" 1940 87 760000
"Seven Year Itch, The" 1955 105 3200000
"Seven Years in Tibet" 1997 139 70000000
"Seventh Coin, The" 1993 92 900000
"Sex, Lies, and Videotape" 1989 100 1200000
"Sgt. Bilko" 1996 93 39000000
"Sgt. Pepper's Lonely Hearts Club Band" 1978 113 18000000
"Sh'Chur" 1994 100 700000
"Shade" 2003 101 6800000
"Shadow Conspiracy" 1997 103 45000000
"Shadow of the Vampire" 2000 87 8000000
"Shadow, The" 1994 108 40000000
"Shadowlands" 2003 91 500000
"Shadows Over Chinatown" 1946 64 75000
"Shadows and Fog" 1992 85 14000000
"Shaft" 1971 100 1125000
"Shaft" 2000 99 46000000
"Shake, Rattle & Rock!" 1956 72 79000
"Shakes the Clown" 1992 87 1400000
"Shakespeare in Love" 1998 122 25000000
"Shakespeare's Children" 1996 50 100000
"Shalako" 1968 113 1455000
"Shall We Dance" 1937 109 991000
"Shall We Dance" 2004 106 40000000
"Shallow Grave" 1994 93 2500000
"Shallow Hal" 2001 113 40000000
"Shampoo Horns" 1998 89 2500000
"Shanghai Cobra, The" 1945 64 75000
"Shanghai Gesture, The" 1941 98 1000000
"Shanghai Knights" 2003 114 50000000
"Shanghai Noon" 2000 110 55000000
"Shanghai Surprise" 1986 97 17000000
"Shape of Things, The" 2003 96 4000000
"Shards" 2004 23 38000
"Shark Tale" 2004 90 75000000
"Sharks 3D" 2004 42 4000000
"Shattered Glass" 2003 95 6000000
"Shaun of the Dead" 2004 99 4000000
"Shawshank Redemption, The" 1994 142 25000000
"She Demons" 1958 77 65000
"She Done Him Wrong" 1933 66 200000
"She Freak" 1967 83 65000
"She Gods of Shark Reef" 1958 63 50000
"She Had to Say Yes" 1933 65 111000
"She Wore a Yellow Ribbon" 1949 103 1600000
"She's All That" 1999 95 10000000
"She's Gotta Have It" 1986 88 160000
"She's So Lovely" 1997 100 18000000
"She's the One" 1996 96 3500000
"She-Creature, The" 1956 77 100000
"Sheena" 1984 117 25000000
"Shelter" 2003 80 125000
"Shelter Island" 2003 82 5000000
"Shichinin no samurai" 1954 206 500000
"Shine" 1996 105 5500000
"Shining, The" 1980 146 19000000
"Shipping News, The" 2001 111 35000000
"Shock" 1946 70 375000
"Shock Act" 2004 19 50000
"Shock Treatment" 1981 94 3500000
"Shock Waves" 1977 90 200000
"Shock, The" 1923 96 90220
"Shooter" 2004 24 25000
"Shooting Fish" 1997 103 3000000
"Shopping for Fangs" 1997 90 100000
"Short Cut to Nirvana: Kumbh Mela" 2004 85 200000
"Shot at Glory, A" 2000 114 9000000
"Shotgun Wedding" 2003 24 2000
"Shottas" 2002 95 200000
"Show Boat" 1951 107 2295429
"Showboy" 2002 93 300000
"Showgirls" 1995 131 45000000
"Showtime" 2002 96 85000000
"Shrek" 2001 90 60000000
"Shrek 2" 2004 92 75000000
"Shrink Is In, The" 2001 87 6000000
"Shtei Etzbaot Mi'Tzidon" 1986 91 80000
"Shutter" 2001 24 15000
"Sibirskiy tsiryulnik" 1998 275 35000000
"Sid and Nancy" 1986 110 4000000
"Sidewalks of New York" 2001 108 1000000
"Sideways" 2004 123 16000000
"Siege, The" 1998 116 70000000
"Sign of the Pagan" 1954 92 1300000
"Signs" 2002 108 72000000
"Silence of the Lambs, The" 1991 118 19000000
"Silencio" 2002 30 10000
"Silent Amy" 2004 41 7000
"Silent Cry" 2002 85 4500000
"Silent Movie" 1976 87 4400000
"Silent Night, Deadly Night" 1984 85 750000
"Silent Night, Deadly Night Part 2" 1987 88 250000
"Silent Trigger" 1996 90 15000000
"Silenzio dei prosciutti, Il" 1994 81 3000000
"Silk Stockings" 1957 117 1853463
"Silmido" 2003 135 8000000
"Silver Bullet" 1985 95 7000000
"Silver Chalice, The" 1954 142 4500000
"Silverado" 1985 127 26000000
"Simon Birch" 1998 113 20000000
"Simon: An English Legionnaire" 2002 90 3500000
"Simple Plan, A" 1998 121 17000000
"Simple Wish, A" 1997 89 28000000
"Simply Irresistible" 1999 94 6000000
"Sin City" 2005 124 45500000
"Sin of Harold Diddlebock, The" 1947 89 1712959
"Sinbad: Legend of the Seven Seas" 2003 86 60000000
"Since You Went Away" 1944 172 2400000
"Sindrome di Stendhal, La" 1996 113 3800000
"Sinful Davey" 1969 95 3000000
"Singin' in the Rain" 1952 103 2540800
"Singing Detective, The" 2003 109 10000000
"Single Standard, The" 1929 73 336000
"Single and Dealing with It" 2003 86 175000
"Singles Ward, The" 2002 102 500000
"Sinnui yauman" 1987 92 5600000
"Sins of Jezebel" 1953 74 100000
"Sins of the Fleshapoids" 1965 40 1000
"Sirota kazanskaya" 1997 82 800000
"Sista vals, En" 2001 14 35000
"Sisters" 1973 92 500000
"Sit and Spin" 2002 20 50000
"Siunin Wong Fei-hung tsi titmalau" 1993 90 2000000
"Six Days Seven Nights" 1998 101 70000000
"Six-String Samurai" 1998 91 2000000
"Sixteen Candles" 1984 93 6500000
"Sixth Sense, The" 1999 107 55000000
"Sjunde inseglet, Det" 1957 92 150000
"Skeleton Dance, The" 1929 6 5386
"Skeletons" 1996 87 2200000
"Skeletons in the Closet" 2000 86 1500000
"Skin Deep" 2003 89 400000
"Skullduggery" 1970 105 4500000
"Skulls, The" 2000 106 15000000
"Sky Bandits" 1986 95 18000000
"Sky Captain and the World of Tomorrow" 2004 106 40000000
"Slacker" 1991 97 23000
"Slackers" 2002 86 11000000
"Slam" 1998 100 1000000
"Slap Her... She's French" 2002 92 10000000
"Slashers" 2001 97 165000
"Slaughter Rule, The" 2002 112 500000
"Sledgehammer" 1983 87 40000
"Sleepaway Camp" 1983 84 350000
"Sleeper" 1973 89 2000000
"Sleepers" 1996 147 44000000
"Sleeping Beauty" 1959 75 6000000
"Sleeping Dictionary, The" 2003 109 12000000
"Sleepless in Seattle" 1993 105 21000000
"Sleepover" 2004 89 10000000
"Sleepwalk" 2000 98 100000
"Sleepwalker" 1993 2 15000
"Sleepy Hollow" 1999 105 65000000
"Slog Movie, The" 1982 59 5000
"Slumber Party Massacre, The" 1982 77 250000
"Slums of Beverly Hills" 1998 92 5000000
"Small Soldiers" 1998 110 40000000
"Small Time Crooks" 2000 94 18000000
"Smile Like Yours, A" 1997 98 18000000
"Smilla's Sense of Snow" 1997 120 35000000
"Smoke" 1995 112 7000000
"Smoke Signals" 1998 88 2000000
"Smokin' Stogies" 2001 98 280000
"Snackers" 2004 10 13000
"Snake Eyes" 1998 98 73000000
"Snatch." 2000 102 10000000
"Snell Show, The" 2003 8 6000
"Snitch" 1998 90 11000000
"Snow Day" 2000 89 13000000
"Snow Dogs" 2002 99 35000000
"Snow Falling on Cedars" 1999 127 36000000
"Snow White and the Seven Dwarfs" 1937 83 1488000
"Snow White and the Three Stooges" 1961 107 3500000
"So Ends Our Night" 1941 122 401000
"Social Intercourse" 1998 90 15000
"Soft for Digging" 2001 74 6000
"Soho Square" 2000 79 7000
"Sol Goode" 2001 99 3000000
"Solar Crisis" 1990 112 55000000
"Solaris" 2002 99 47000000
"Soldier" 1998 98 75000000
"Soldier's Leap, The" 1998 26 75000
"Soldier, The" 2003 10 3000
"Soldiers Pay" 2004 35 180000
"Soliloquy" 2001 29 3000
"Soliloquy" 2003 93 89000
"Solitaire for 2" 1995 106 1500000
"Solitude" 2005 74 5000
"Solomon Bernstein's Bathroom" 2000 20 35000
"Solomon and Sheba" 1959 141 5000000
"Solstice" 1994 48 130000
"Some Like It Hot" 1959 120 2883848
"Someone Like You..." 2001 97 23000000
"Something Weird" 1967 80 35000
"Something Wicked This Way Comes" 1983 95 19000000
"Something to Sing About" 1937 93 900000
"Sometimes They Come Back... Again" 1996 98 3000000
"Sometimes They Come Back... for More" 1999 89 2000000
"Somewhere in Time" 1980 103 5100000
"Son" 2002 125 2000000
"Son of Kong, The" 1933 70 250000
"Son of the Mask" 2005 94 74000000
"Song Is Born, A" 1948 113 2400000
"Song jia huang chao" 1997 145 50000000
"Song of Bernadette, The" 1943 156 2000000
"Songcatcher" 2000 109 1800000
"Sons of Provo" 2004 93 200000
"Sorcerer" 1977 93 22000000
"Sorority Babes in the Slimeball Bowl-O-Rama" 1988 80 90000
"Sorority Boys" 2002 93 12000000
"Sorority House Vampires" 1998 86 50000
"Sorte Nula" 2004 85 150000
"Soul Assassin" 2001 96 7000000
"Soul Food" 1997 114 7500000
"Soul Plane" 2004 92 16000000
"Soul Survivors" 2001 84 14000000
"Sound of Music, The" 1965 174 8200000
"South Beach" 1992 93 800000
"South Pacific" 1958 171 6000000
"South Park: Bigger Longer & Uncut" 1999 81 21000000
"Space Available" 2004 15 18000
"Space Between, The" 2002 19 12000
"Space Between, The" 2004 60 1500
"Space Cowboys" 2000 130 65000000
"Space Jam" 1996 87 80000000
"Space Truckers" 1996 95 25000000
"Space-Thing" 1968 69 17500
"Spaceballs" 1987 96 22700000
"Spaced Invaders" 1990 100 3000000
"Spacehunter: Adventures in the Forbidden Zone" 1983 90 14400000
"Spaceman" 1997 88 50000
"Spandex: A Father's Tale" 2005 21 30000
"Spanglish" 2004 130 80000000
"Spanish Judges" 1999 98 3500000
"Spanking the Monkey" 1994 100 200000
"Sparrows" 1926 84 463455
"Spartacus" 1960 198 12000000
"Spawn" 1997 98 40000000
"Spawn of the Slithis" 1978 86 100000
"Specialist, The" 1994 110 45000000
"Species" 1995 108 35000000
"Speed" 1994 116 28000000
"Speed 2: Cruise Control" 1997 121 110000000
"Speedway" 1968 94 1500000
"Speedway Junky" 1999 105 1000000
"Spellbound" 1945 111 1696377
"Spelling Bee" 2004 13 20000
"Sphere" 1998 134 80000000
"Sphinx" 1981 118 14000000
"Spice World" 1997 93 25000000
"Spider" 2002 94 8000000
"Spider Baby, or The Maddest Story Ever Told" 1968 81 65000
"Spider-Man" 2002 121 139000000
"Spider-Man 2" 2004 127 200000000
"Spiders" 2000 95 2000000
"Spies Like Us" 1985 102 22000000
"Spin Cycle, The" 2004 9 5300
"Spinal Tap: The Final Tour" 1998 20 50000
"Spirit of America, The" 2001 3 60000
"Spirit of St. Louis, The" 1957 135 6000000
"Spirit: Stallion of the Cimarron" 2002 86 80000000
"Spirithunter, The" 2004 115 100000
"Spitfire Grill, The" 1996 117 6000000
"Splash" 1984 111 8000000
"Split Second" 1992 90 7000000
"SpongeBob SquarePants Movie, The" 2004 90 30000000
"Spook" 2003 93 1000000
"Spotless" 2005 90 250000
"Spring Fever" 1982 100 4300000
"Spring Forward" 1999 110 2000000
"Spudmonkey" 2001 88 1100000
"Spun" 2002 106 2800000
"Spy Game" 2001 126 92000000
"Spy Hard" 1996 81 18000000
"Spy Kids" 2001 88 35000000
"Spy Kids 2: Island of Lost Dreams" 2002 99 39000000
"Spy Kids 3-D: Game Over" 2003 84 39000000
"Spy Who Loved Me, The" 1977 123 14000000
"Squaw Man, The" 1914 72 15450
"Squeeze" 1997 102 155000
"St. Louis Kid, The" 1934 67 80000
"St. Valentine's Day Massacre, The" 1967 100 1000000
"Stacey" 1973 81 100000
"Stag" 1997 91 3000000
"Stage Door" 1937 92 952000
"Stagecoach" 1939 96 531300
"Stakeout on Dope Street" 1958 89 35000
"Stalag 17" 1953 116 1315000
"Stand by Me" 1986 89 8000000
"Stand-In, The" 1999 100 400000
"Standalone" 2005 108 245000
"Standing by Yourself" 2002 65 1000
"Stanley" 1972 108 125000
"Stanley and Livingstone" 1939 101 2000000
"Star Is Born, A" 1937 111 1173639
"Star Is Born, A" 1954 176 5019770
"Star Is Born, A" 1976 139 6000000
"Star Kid" 1997 101 12000000
"Star Trek III: The Search for Spock" 1984 105 17000000
"Star Trek IV: The Voyage Home" 1986 136 25000000
"Star Trek V: The Final Frontier" 1989 107 27800000
"Star Trek VI: The Undiscovered Country" 1991 113 30000000
"Star Trek the Experience: The Klingon Encounter" 1998 4 70000000
"Star Trek: First Contact" 1996 106 45000000
"Star Trek: Generations" 1994 118 35000000
"Star Trek: Insurrection" 1998 103 58000000
"Star Trek: Nemesis" 2002 116 70000000
"Star Trek: The Motion Picture" 1979 143 35000000
"Star Trek: The Wrath of Khan" 1982 116 11000000
"Star Wars" 1977 125 11000000
"Star Wars: Episode I - The Phantom Menace" 1999 133 115000000
"Star Wars: Episode II - Attack of the Clones" 2002 120 120000000
"Star Wars: Episode V - The Empire Strikes Back" 1980 129 18000000
"Star Wars: Episode VI - Return of the Jedi" 1983 135 32500000
"Star of Midnight" 1935 90 280000
"Star!" 1968 120 14000000
"Star-Crossed" 2003 105 2500
"Stardust Memories" 1980 91 10000000
"Stargate" 1994 130 55000000
"Stark Raving Mad" 2002 102 5000000
"Starkweather" 2004 92 1000000
"Starman" 1984 115 24000000
"Starship Troopers" 1997 129 95000000
"Starsky & Hutch" 2004 101 60000000
"State Fair" 1962 118 4500000
"State of the Union" 1948 124 2600000
"State's Evidence" 2004 89 400000
"Statement, The" 2003 120 23000000
"Stateside" 2004 97 16000000
"Station Agent, The" 2003 88 500000
"Stationery Games" 2002 28 2500
"Statski sovetnik" 2005 208 4000000
"Steagle, The" 1971 87 1850000
"Steaks, The" 2000 107 1000
"Steal Big Steal Little" 1995 135 35000000
"Stealing Harvard" 2002 82 25000000
"Steam Cloud Rising" 2004 100 25000
"Steamboat Willie" 1928 8 4986
"Steamboy" 2004 126 20000000
"Steaming" 1985 102 3000000
"Steel" 1997 97 16000000
"Steel Helmet, The" 1951 85 103000
"Steel Legends: Railroads of the Northeast" 2000 60 17500
"Steel Spirit" 2002 90 20000
"Stella Dallas" 1925 110 700000
"Stepford Wives, The" 2004 93 90000000
"Stepmom" 1998 124 50000000
"Stereo" 1969 65 3500
"Steven Spielberg's Movie" 2001 25 11000
"Sticky Fingers of Time, The" 1997 90 250000
"Stigmata" 1999 103 32000000
"Still Lover" 2003 5 1000
"Sting, The" 1973 129 5500000
"Stir of Echoes" 1999 99 13000000
"Stolen Summer" 2002 91 1500000
"Story of Alexander Graham Bell, The" 1939 98 1500000
"Story of Dr. Wassell, The" 1944 140 2720000
"Story of Us, The" 1999 95 50000000
"Story of Vernon and Irene Castle, The" 1939 93 1196000
"Story of a Three-Day Pass, The" 1968 87 100000
"Story of the Kelly Gang, The" 1906 70 2250
"Straight Out of Brooklyn" 1991 79 450000
"Straight Story, The" 1999 112 10000000
"Straight to Hell" 1987 86 1000000
"Strange Days" 1995 145 42000000
"Strange Interlude" 1932 109 408000
"Strangeland" 1998 92 2000000
"Stranger Than Paradise" 1983 89 90000
"Stranger on the Third Floor" 1940 64 171200
"Strangers" 2004 9 1000
"Strangers on a Train" 1951 103 1200000
"Straw Dogs" 1971 113 3251794
"Street Pirates" 1994 94 650000
"Street Scene" 1931 80 584000
"Streetcar Named Desire, A" 1951 125 1800000
"Streets of Fire" 1984 93 14500000
"Strike Up the Band" 1940 120 838661
"Stripes" 1981 106 10000000
"Striporama" 1953 70 40000
"Striptease" 1996 117 50000000
"Stryker's War" 1985 84 100000
"Stuart Little" 1999 81 103000000
"Stuart Little 2" 2002 82 120000000
"Student Nurses, The" 1970 89 150000
"Student Prince in Old Heidelberg, The" 1927 106 1205000
"Student of Prague, The" 2004 9 8000
"Stuff, The" 1985 93 1700000
"Stupids, The" 1996 94 25000000
"Sub Down" 1997 93 17000000
"Sub terra" 2003 105 1200000
"Submarine" 1928 93 150000
"Subterraneans, The" 1960 89 931724
"Suburbia" 1984 94 1000000
"Suddenly, Last Summer" 1959 114 3000000
"Sugar & Spice" 2001 84 11000000
"Sugar Town" 1999 92 250000
"Sugarland Express, The" 1974 110 3000000
"Suicide Inc." 2001 10 8000
"Suicide Kings" 1997 106 5000000
"Sullivan's Travels" 1941 90 689665
"Sum of All Fears, The" 2002 123 68000000
"Sumas y restas" 2004 109 1500000
"Summer Catch" 2001 105 17000000
"Summer Holiday" 1948 93 2258325
"Summer Solstice" 2003 111 300000
"Summer Sonata, A" 2004 30 2000
"Summer of Sam" 1999 142 22000000
"Summer's Gone" 1999 96 15000
"Sunday" 1997 94 450000
"Sunday Morning Stripper, The" 2003 24 22000
"Sunset Blvd." 1950 115 1752000
"Sunshine Deli and Grocery, The" 2000 93 300000
"Sunshine State" 2002 141 5600000
"Super Mario Bros." 1993 104 42000000
"Super Size Me" 2004 100 300000
"Super Troopers" 2001 100 3000000
"Superbeast" 1972 90 275000
"Supergirl" 1984 150 35000000
"Superman" 1941 10 100000
"Superman" 1978 151 55000000
"Superman II" 1980 127 54000000
"Superstar" 1999 81 14000000
"Superstarlet A.D." 2000 70 16000
"Supervixens" 1975 99 250000
"Surface Calm" 2001 18 15000
"Surviving Picasso" 1996 125 16000000
"Susan Lenox (Her Fall and Rise)" 1931 76 580000
"Suspect Zero" 2004 99 27000000
"Suspended Animation" 2001 114 1900000
"Sutter's Gold" 1936 94 2000000
"Suzy" 1936 93 614000
"Svoi" 2004 111 2500000
"Swamp Thing" 1982 91 3000000
"Swarm, The" 1978 156 21000000
"Sweepers" 1999 93 12500000
"Sweet Angel Mine" 1996 88 5000000
"Sweet Charity" 1969 154 20000000
"Sweet Hideaway" 2003 96 350000
"Sweet Home Alabama" 2002 108 38000000
"Sweet November" 2001 115 40000000
"Sweet Sweetback's Baad Asssss Song" 1971 97 150000
"Sweetest Thing, The" 2002 90 43000000
"Swept Away" 2002 89 10000000
"Swimfan" 2002 85 8500000
"Swimming with Sharks" 1994 101 700000
"Swing Time" 1936 103 886000
"Swingers" 1996 96 200000
"Swinging Cheerleaders, The" 1974 91 150000
"Swiri" 1999 125 5000000
"Switchback" 1997 118 38000000
"Switchblade Sisters" 1975 91 320000
"Swoon" 1992 80 250000
"Swordfish" 2001 99 80000000
"Swordswallowers and Thin Men" 2003 105 2500
"Sylvia Scarlett" 1935 95 1000000
"Symphony of Six Million" 1932 94 270000
"Sztuka spadania" 2004 5 100000
"T2 3-D: Battle Across Time" 1996 12 60000000
"THX 1138" 1971 88 777000
"Tabu" 1931 84 150000
"Tadpole" 2002 78 150000
"Taegukgi hwinalrimyeo" 2004 140 12800000
"Tai yang zhi zi" 1990 84 35000000
"Tailor of Panama, The" 2001 109 18000000
"Take Me Out to the Ball Game" 1949 93 1725970
"Take Me Somewhere Nice" 2004 17 8000
"Take a Giant Step" 1959 100 300000
"Take the Money and Run" 1969 85 1500000
"Tale of the Mummy" 1998 119 8000000
"Talented Mr. Ripley, The" 1999 139 40000000
"Tales from the Hood" 1995 98 6000000
"Talk Radio" 1988 110 4000000
"Talk to Taka" 2000 12 100000
"Tall Tale" 1995 98 32000000
"Taming of the Shrew, The" 1929 63 504000
"Taming of the Shrew, The" 1967 122 4000000
"Tang shan da xiong" 1971 115 100000
"Tango & Cash" 1989 104 55000000
"Tank Girl" 1995 104 25000000
"Taras Bulba" 1962 124 7000000
"Target Earth" 1954 75 85000
"Targets" 1968 90 130000
"Tart" 2001 94 3300000
"Tarzan" 1999 88 150000000
"Tarzan and His Mate" 1934 104 1279000
"Tarzan and the Lost City" 1998 83 20000000
"Tarzan and the Mermaids" 1948 68 1000000
"Taste of Blood, A" 1967 117 65000
"Tattooed Stranger, The" 1950 64 124000
"Taxi Driver" 1976 110 1300000
"Taxman, The" 1999 104 1000000
"Tea with Mussolini" 1999 117 12000000
"Tea with Tiffany" 2003 6 10000
"Teacher's Pet" 2004 74 10000000
"Teaching Mrs. Tingle" 1999 96 13000000
"Team America: World Police" 2004 98 30000000
"Tears of the Sun" 2003 121 70000000
"Ted Bundy" 2002 99 1200000
"Teen Wolf Too" 1987 95 3000000
"Teenage Cave Man" 1958 65 70000
"Teenage Monster" 1958 65 57000
"Teenage Mutant Ninja Turtles" 1990 93 13500000
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze" 1991 88 25000000
"Teenage Thunder" 1957 78 46000
"Tehran 7:00 a.m." 2003 85 500000
"Tell Me That You Love Me" 1983 91 1000000
"Tell Them Johnny Wadd Is Here" 1975 74 12000
"Telling Lies in America" 1997 101 4000000
"Temp, The" 1993 99 15000000
"Temporary Girl" 1998 90 250000
"Temptress, The" 1926 106 669000
"Ten Commandments, The" 1923 146 1800000
"Ten Commandments, The" 1956 220 13500000
"Ten to Chi to" 1990 215 42000000
"Tentacoli" 1977 102 750000
"Terminal Choice" 1985 93 3900000
"Terminal USA" 1993 54 365000
"Terminal, The" 2004 128 60000000
"Terminator 2: Judgment Day" 1991 154 100000000
"Terminator 3: Rise of the Machines" 2003 109 175000000
"Terminator, The" 1984 108 6400000
"Terrible Truth, The" 1951 10 1000
"Terror Tract" 2000 96 11000000
"Terror Train" 1980 97 3500000
"Terror in a Texas Town" 1958 81 80000
"Terror of Tiny Town, The" 1938 62 100000
"Terrorists" 2004 72 80000
"Tess of the Storm Country" 1922 137 400000
"Testament of Tom Jacoby, The" 2001 7 3000
"Tevya" 1939 93 70000
"Texas Chain Saw Massacre, The" 1974 75 140000
"Texas Chainsaw Massacre 2, The" 1986 111 4700000
"Texas Chainsaw Massacre, The" 2003 98 9200000
"Texas Rangers" 2001 86 38000000
"Thank God He Met Lizzie" 1997 91 2500000
"Thank God It's Friday" 1978 89 2200000
"Thanksgiving" 2004 12 150000
"That 70's Matrix" 2001 35 1200
"That Cold Day in the Park" 1969 113 500000
"That Little Monster" 1994 56 30000
"That Thing You Do!" 1996 108 2500000
"Thaw" 2000 14 15000
"Thelma & Louise" 1991 129 16500000
"Theodore Rex" 1995 92 33000000
